number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
3053	Dresden	nan	None	2.3795	nan	0.1704	nan	0.0791	nan	0.15	nan	13.34	nan	nan	nan	3.56	0.056	0.28118	0.004442	0.833	0.0319
3054	Strugatskia	24	Themis	3.1005	nan	0.1784	nan	0.0263	nan	0.15	nan	11.81	nan	nan	nan	26.76	0.194	0.03709	0.000269	0.066	0.0040
3074	Popov	44	Nysa	2.3388	nan	0.1493	nan	0.0445	nan	0.15	nan	13.84	nan	nan	nan	9.86	0.064	0.10133	0.000655	0.070	0.0072
3112	Velimir	44	Nysa	2.3783	nan	0.1636	nan	0.0552	nan	0.15	nan	13.39	nan	nan	nan	12.21	0.060	0.08056	0.000393	0.047	0.0027
3125	Hay	nan	None	2.6021	nan	0.2401	nan	0.1981	nan	0.15	nan	12.73	nan	nan	nan	15.57	0.163	0.06384	0.000668	0.071	0.0053
3128	Obruchev	24	Themis	3.1157	nan	0.1549	nan	0.0291	nan	0.15	nan	12.23	nan	nan	nan	20.50	0.201	0.04870	0.000478	0.071	0.0111
3129	Bonestell	nan	None	2.6995	nan	0.2541	nan	0.1091	nan	0.15	nan	12.65	nan	nan	nan	7.33	0.084	0.13622	0.001564	0.364	0.0286
3130	Hillary	44	Nysa	2.4660	nan	0.1598	nan	0.0574	nan	0.15	nan	13.29	nan	nan	nan	16.53	0.035	0.05805	0.000122	0.043	0.0002
3139	Shantou	702	Alauda	3.1925	nan	0.0178	nan	0.3684	nan	0.15	nan	10.95	nan	nan	nan	37.13	0.217	0.02634	0.000154	0.060	0.0028
3148	Grechko	24	Themis	3.1073	nan	0.1592	nan	0.0283	nan	0.15	nan	12.37	nan	nan	nan	17.63	0.346	0.05644	0.001108	0.070	0.0072
3179	Beruti	24	Themis	3.0914	nan	0.1594	nan	0.0354	nan	0.15	nan	12.05	nan	nan	nan	19.62	0.079	0.05081	0.000203	0.085	0.0073
3185	Clintford	44	Nysa	2.3657	nan	0.1542	nan	0.0546	nan	0.15	nan	13.90	nan	nan	nan	9.98	0.127	0.09910	0.001262	0.041	0.0032
3186	Manuilova	24	Themis	3.1101	nan	0.1405	nan	0.0215	nan	0.15	nan	12.90	nan	nan	nan	13.90	0.122	0.07192	0.000633	0.088	0.0096
3189	Penza	nan	None	3.1031	nan	0.1625	nan	0.1346	nan	0.15	nan	12.91	nan	nan	nan	12.00	1.572	0.07880	0.010325	0.131	0.0517
3200	Phaethon	nan	None	nan	nan	nan	nan	nan	nan	0.15	nan	14.34	nan	nan	nan	3.66	0.061	0.14929	0.002621	0.025	0.0017
3228	Pire	44	Nysa	2.4629	nan	0.1565	nan	0.0487	nan	0.15	nan	12.91	nan	nan	nan	16.17	0.165	0.06157	0.000630	0.050	0.0044
